,bf_id,num_weights,CNR
89,1528225522_179,102050,5.109319999999999
90,1528225522_18,5684640,5.051880000000001
91,1528225522_180,271440,5.271199999999999
92,1528225522_181,948480,5.11436
93,1528225522_182,1490320,5.26444
94,1528225522_183,475020,5.11878
95,1528225522_184,3519360,5.039439999999999
96,1528225522_185,1490320,5.28534
97,1528225522_186,1219400,5.0233
98,1528225522_187,1490320,5.13332
99,1528225522_188,6767280,5.22898
100,1528225522_189,948480,5.2538
101,1528225522_19,1761240,5.36498
102,1528225522_190,4602000,5.16596
103,1528225522_191,119080,5.00108
104,1528225522_192,339300,5.1314400000000004
105,1528225522_193,271440,5.25606
106,1528225522_194,119080,-0.29701400000000006
107,1528225522_195,271440,5.3751999999999995
108,1528225522_196,119080,5.12418
109,1528225522_197,1490320,4.978980000000001
110,1528225522_198,4602000,5.2796
111,1528225522_199,271440,5.14766
112,1528225522_2,1490320,5.34044
113,1528225522_20,85020,5.1635800000000005
114,1528225522_200,948480,5.486260000000001
115,1528225522_21,136110,5.16024
116,1528225522_22,339300,5.263820000000001
117,1528225522_23,6767280,4.94534
118,1528225522_24,271440,5.39192
119,1528225522_25,339300,5.3668
120,1528225522_26,948480,5.11428
121,1528225522_27,1490320,5.1163799999999995
122,1528225522_28,102050,5.10134
123,1528225522_29,102050,4.9973399999999994
124,1528225522_3,6767280,4.99568
125,1528225522_30,1761240,5.1501
126,1528225522_31,119080,4.22878
127,1528225522_32,136110,5.139259999999999
128,1528225522_33,102050,5.3059400000000005
129,1528225522_34,5684640,5.03354
130,1528225522_35,948480,5.10248
131,1528225522_36,339300,5.03414
132,1528225522_37,1490320,5.25806
133,1528225522_38,475020,5.4459599999999995
134,1528225522_39,85020,5.28544
135,1528225522_4,1490320,5.2673000000000005
136,1528225522_40,85020,5.0022199999999994
137,1528225522_41,407160,4.943479999999999
138,1528225522_42,475020,5.141959999999999
139,1528225522_43,102050,5.2350200000000005
140,1528225522_44,407160,5.05436
141,1528225522_45,5684640,5.2752
142,1528225522_46,475020,5.2463999999999995
143,1528225522_47,407160,-0.36394199999999993
144,1528225522_48,475020,5.0303
145,1528225522_49,4602000,5.43598
146,1528225522_5,102050,5.207859999999999
147,1528225522_50,1490320,4.90254
148,1528225522_51,119080,5.2623
149,1528225522_52,339300,5.05658
150,1528225522_53,6767280,5.4184
151,1528225522_54,1219400,5.12338
152,1528225522_55,3519360,5.424519999999999
153,1528225522_56,1219400,5.527980000000001
154,1528225522_57,6767280,5.30244
155,1528225522_58,1761240,5.380000000000001
156,1528225522_59,85020,5.2512
157,1528225522_6,6767280,5.23444
158,1528225522_60,948480,5.45964
159,1528225522_61,3519360,5.314
160,1528225522_62,119080,5.186719999999999
161,1528225522_63,475020,5.18784
162,1528225522_64,339300,5.28092
163,1528225522_65,5684640,4.9858199999999995
164,1528225522_66,85020,5.06374
165,1528225522_67,1219400,5.07084
166,1528225522_68,475020,5.18532
167,1528225522_69,136110,5.0617
168,1528225522_7,475020,5.106
169,1528225522_70,948480,5.194660000000001
170,1528225522_71,475020,5.28456
171,1528225522_72,4602000,5.573519999999999
172,1528225522_73,6767280,5.0743
173,1528225522_74,948480,5.2034
174,1528225522_75,339300,5.04266
175,1528225522_76,5684640,4.55578
176,1528225522_77,3519360,5.03236
177,1528225522_78,948480,5.25506
178,1528225522_79,136110,4.90178
179,1528225522_8,1219400,5.26006
180,1528225522_80,1490320,5.132820000000001
181,1528225522_81,1219400,5.46394
182,1528225522_82,1219400,5.175
183,1528225522_83,407160,5.15174
184,1528225522_84,4602000,5.1185
185,1528225522_85,1490320,5.3745199999999995
186,1528225522_86,407160,5.12386
187,1528225522_87,948480,5.208080000000001
188,1528225522_88,6767280,5.0899399999999995
189,1528225522_89,5684640,5.40912
190,1528225522_9,1219400,5.1699600000000006
191,1528225522_90,136110,4.95906
192,1528225522_91,1219400,5.50602
193,1528225522_92,271440,5.01616
194,1528225522_93,1761240,5.03066
195,1528225522_94,1219400,5.11942
196,1528225522_95,271440,5.12524
197,1528225522_96,1761240,5.21092
198,1528225522_97,407160,5.16216
199,1528225522_98,1219400,5.021420000000001
200,1528225522_99,1219400,5.18754
